City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Auki,SB,79.18,overcast clouds,-8.7676,160.7034,Auki Motel
1,Havelock,US,53.56,overcast clouds,34.8791,-76.9013,Sherwood Motel
2,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Port Hardy,CA,41.76,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
4,Mataura,NZ,52.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
5,Bluff,NZ,52.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
7,Vaini,TO,86.16,few clouds,-21.2,-175.2,Keleti Beach Resort
8,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
10,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
12,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
14,Vao,NC,76.98,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
15,Punta Arenas,CL,51.91,broken clouds,-53.15,-70.9167,Hotel Hain
17,Hithadhoo,MV,80.91,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Kalaleh,IR,46.31,few clouds,37.3807,55.4916,عطر و ادکلن پارسیس
19,Rikitea,PF,78.64,overcast clouds,-23.1203,-134.9692,People ThankYou
20,Nikolskoye,RU,17.49,broken clouds,59.7035,30.7861,Tourist House - Sablino
22,Labuhan,ID,78.6,overcast clouds,-6.8844,112.2051,DoubleFAG
23,Plaster Rock,CA,10.92,overcast clouds,46.9065,-67.39,Settler's Inn & Motel
24,Arraial Do Cabo,BR,78.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
25,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
26,Ushuaia,AR,42.46,light intensity drizzle,-54.8,-68.3,Albatross Hotel
29,Saint George,US,55.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
30,Kaitangata,NZ,58.93,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
32,Castro,BR,73.24,clear sky,-24.7911,-50.0119,CHACARA BAILLY
33,Tasiilaq,GL,17.76,scattered clouds,65.6145,-37.6368,The Red House
35,Jamestown,US,18.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
36,Noumea,NC,82.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
37,Erice,IT,37.87,clear sky,38.037,12.5865,I Mulini Resort
38,Alofi,NU,85.89,broken clouds,-19.0595,-169.9187,Taloa Heights
39,Surt,LY,51.87,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
40,Along,IN,51.73,overcast clouds,28.1667,94.7667,Hotel West
41,Rzhev,RU,19.8,overcast clouds,56.2624,34.3282,Hostel Na Razina
42,Atuona,PF,78.37,clear sky,-9.8,-139.0333,Villa Enata
43,Klaksvik,FO,41.92,few clouds,62.2266,-6.589,Airbnb rooms
44,Mareeba,AU,80.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
45,Ponta Do Sol,PT,61.43,few clouds,32.6667,-17.1,Hotel do Campo
46,Caravelas,BR,77.32,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
47,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
48,Busselton,AU,61.09,clear sky,-33.65,115.3333,Observatory Guest House
49,Mackenzie,CA,34.02,broken clouds,55.2999,-123.1698,Hilton Shop
50,Ystad,SE,39.97,broken clouds,55.4297,13.8204,Continental du Sud
51,Buala,SB,79.59,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
52,Oriximina,BR,81.81,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
53,Malanje,AO,64.6,light rain,-9.5402,16.341,Hotel Ginga
55,Commerce,US,76.78,clear sky,34.0006,-118.1598,DoubleTree by Hilton Hotel Los Angeles - Commerce
56,Dongli,CN,60.78,mist,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
57,Lompoc,US,72.1,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
58,Tuktoyaktuk,CA,21.2,light snow,69.4541,-133.0374,End of The Road Ltd.
59,San Quintin,MX,61.95,few clouds,30.4833,-115.95,Don Eddie's Landing
60,Port Alfred,ZA,72.36,broken clouds,-33.5906,26.891,The Halyards Hotel
61,Namibe,AO,75.74,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
62,Athabasca,CA,39.6,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
64,Esperance,AU,62.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
65,Vardo,NO,26.8,broken clouds,70.3705,31.1107,Vardø Hotel AS
66,Pimenta Bueno,BR,82.38,broken clouds,-11.6725,-61.1936,Cristalina Palace Hotel
67,Mashhad,IR,33.94,clear sky,36.297,59.6062,Khanye Sabz Hotel
68,Kodiak,US,31.51,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
69,Batesville,US,40.95,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
70,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
72,Mackay,AU,79.68,scattered clouds,-21.15,149.2,International Lodge Motel
73,Aktau,KZ,37.98,overcast clouds,43.65,51.2,Silk Way Hotel
74,Constantine,DZ,38.61,clear sky,36.365,6.6147,Grand Hotel Cirta
75,Geraldton,AU,63.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
76,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
77,Victoria,HK,66.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
78,Bredasdorp,ZA,65.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
80,Uhlove,UA,24.57,broken clouds,44.8215,33.6045,Tavryda
81,Aguimes,ES,59.63,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
82,Itarema,BR,80.87,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
83,Butaritari,KI,81.63,broken clouds,3.0707,172.7902,Isles Sunset Lodge
84,Komsomolskiy,UZ,29.62,broken clouds,40.4272,71.7189,Ikathouse
85,Poum,NC,80.08,overcast clouds,-20.2333,164.0167,Gîte kajeon
86,Sambava,MG,74.75,overcast clouds,-14.2667,50.1667,Melrose
87,Viesca,MX,71.96,clear sky,25.35,-102.8,LA VIEZCA (Parque Magico)
88,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
89,Kavieng,PG,84.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
91,Upernavik,GL,1.51,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
92,Kurush,RU,10.29,few clouds,41.2841,47.8345,"Gostevoy Dom ""Severnoye Siyaniye"""
93,Sivas,TR,21.83,snow,39.7916,37.0019,Buruciye Otel
94,Yellowknife,CA,3.42,scattered clouds,62.456,-114.3525,The Explorer Hotel
96,Kavaratti,IN,77.14,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
97,Inhambane,MZ,77.95,overcast clouds,-23.865,35.3833,Oceano
99,Hobart,AU,64.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
101,Pacific Grove,US,67.15,clear sky,36.6177,-121.9166,Lovers Point Inn
102,Coihaique,CL,72.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
103,Bubaque,GW,79.81,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
