City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Auki,SB,-8.7676,160.7034,79.18,89,99,6.8,overcast clouds
1,Havelock,US,34.8791,-76.9013,53.56,78,100,3.44,overcast clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,78.76,78,77,9.01,broken clouds
3,Port Hardy,CA,50.6996,-127.4199,41.76,87,75,4.61,broken clouds
4,Mataura,NZ,-46.1927,168.8643,52.48,90,95,5.12,overcast clouds
5,Bluff,NZ,-46.6,168.3333,52.81,85,100,11.34,overcast clouds
6,Chokurdakh,RU,70.6333,147.9167,-33.0,100,100,6.78,overcast clouds
7,Vaini,TO,-21.2,-175.2,86.16,74,20,9.22,few clouds
8,Yulara,AU,-25.2406,130.9889,82.24,54,96,6.91,overcast clouds
9,Balgazyn,RU,51.0,95.2,-12.05,97,100,1.39,overcast clouds
10,Kapaa,US,22.0752,-159.319,78.78,66,20,1.99,few clouds
11,Valparaiso,CL,-33.0393,-71.6273,75.43,53,0,12.66,clear sky
12,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,93,12.08,light rain
13,Bambous Virieux,MU,-20.3428,57.7575,77.25,69,40,11.5,scattered clouds
14,Vao,NC,-22.6667,167.4833,76.98,72,79,7.31,broken clouds
15,Punta Arenas,CL,-53.15,-70.9167,51.91,50,75,25.32,broken clouds
16,Dikson,RU,73.5069,80.5464,11.77,91,100,31.12,light snow
17,Hithadhoo,MV,-0.6,73.0833,80.91,67,98,14.81,overcast clouds
18,Kalaleh,IR,37.3807,55.4916,46.31,35,17,4.76,few clouds
19,Rikitea,PF,-23.1203,-134.9692,78.64,75,100,17.96,overcast clouds
20,Nikolskoye,RU,59.7035,30.7861,17.49,99,66,3.76,broken clouds
21,Beringovskiy,RU,63.05,179.3167,-26.19,92,14,1.63,few clouds
22,Labuhan,ID,-6.8844,112.2051,78.6,87,100,11.14,overcast clouds
23,Plaster Rock,CA,46.9065,-67.39,10.92,97,100,1.01,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,83,20,16.11,few clouds
25,Carnarvon,AU,-24.8667,113.6333,75.27,78,0,14.97,clear sky
26,Ushuaia,AR,-54.8,-68.3,42.46,81,100,28.77,light intensity drizzle
27,Barrow,US,71.2906,-156.7887,-0.38,71,100,24.16,haze
28,Tupik,RU,54.4253,119.9327,-17.95,100,76,1.95,broken clouds
29,Saint George,US,37.1041,-113.5841,55.63,29,0,5.01,clear sky
30,Kaitangata,NZ,-46.2817,169.8464,58.93,85,49,3.56,scattered clouds
31,Iqaluit,CA,63.7506,-68.5145,-18.67,63,75,2.3,broken clouds
32,Castro,BR,-24.7911,-50.0119,73.24,61,5,3.67,clear sky
33,Tasiilaq,GL,65.6145,-37.6368,17.76,74,26,8.57,scattered clouds
34,Pevek,RU,69.7008,170.3133,-28.12,100,94,2.04,overcast clouds
35,Jamestown,US,42.097,-79.2353,18.99,52,100,5.01,overcast clouds
36,Noumea,NC,-22.2763,166.4572,82.38,99,26,4.74,scattered clouds
37,Erice,IT,38.037,12.5865,37.87,75,0,3.44,clear sky
38,Alofi,NU,-19.0595,-169.9187,85.89,70,75,4.61,broken clouds
