City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-01-25 02:15:57,-21.2,-175.2,86.16,84,20,10.36
1,Cape Town,ZA,2022-01-25 02:12:42,-33.9258,18.4232,69.89,87,14,4.0
2,Rikitea,PF,2022-01-25 02:11:40,-23.1203,-134.9692,78.48,72,100,18.61
3,Synya,RU,2022-01-25 02:15:57,65.3718,58.0387,15.91,91,100,14.85
4,Vao,NC,2022-01-25 02:15:57,-22.6667,167.4833,77.38,67,15,6.44
5,Tiksi,RU,2022-01-25 02:15:58,71.6872,128.8694,-8.16,97,100,9.22
6,Husavik,IS,2022-01-25 02:15:58,66.0449,-17.3389,39.11,80,100,10.54
7,Tabas,IR,2022-01-25 02:15:58,33.5959,56.9244,41.27,26,0,1.03
8,Qaanaaq,GL,2022-01-25 02:15:59,77.484,-69.3632,-15.59,64,17,7.72
9,Flers,FR,2022-01-25 02:15:59,48.7372,-0.5747,28.65,86,0,1.32
10,Frontera,MX,2022-01-25 02:15:59,26.9333,-101.45,62.33,48,98,1.99
11,Mataura,NZ,2022-01-25 02:16:00,-46.1927,168.8643,60.48,47,100,5.06
12,Nome,US,2022-01-25 02:16:00,64.5011,-165.4064,17.67,74,100,11.5
13,Kapaa,US,2022-01-25 02:16:00,22.0752,-159.319,78.78,65,40,1.01
14,Busselton,AU,2022-01-25 02:16:00,-33.65,115.3333,74.08,51,43,13.69
15,Ponta Do Sol,PT,2022-01-25 02:16:01,32.6667,-17.1,61.43,62,66,8.9
16,Akdepe,TM,2022-01-25 02:16:01,42.0551,59.3788,15.89,82,5,9.69
17,Nikolskoye,RU,2022-01-25 02:16:01,59.7035,30.7861,33.71,96,100,9.62
18,Pestovo,RU,2022-01-25 02:16:02,58.5938,35.8024,18.9,93,100,10.47
19,Hudson Bay,CA,2022-01-25 02:16:02,52.85,-102.3842,-16.67,96,8,4.68
20,Arraial Do Cabo,BR,2022-01-25 02:16:03,-22.9661,-42.0278,75.52,90,25,21.18
21,Jamestown,US,2022-01-25 02:11:03,42.097,-79.2353,24.3,65,100,8.01
22,Mar Del Plata,AR,2022-01-25 02:16:03,-38.0023,-57.5575,71.87,86,0,4.0
